Feature,Mean_Absolute_SHAP,Mean_SHAP
channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,0.01231597331209648,-7.287083070590452e-6
consumption_decline,0.011819707633110525,-2.9853446740792417e-5
engagement_risk,0.010737153017418106,-4.147841246129015e-5
num_years_antig,0.006727750713502026,-3.7633508145449625e-5
consumption_decline_pct,0.005980032308668228,-5.976618582766946e-5
price_p2_fix_mean,0.0047316619985372345,7.905222581705559e-6
price_p3_fix_mean,0.0041090481593849685,6.373476173741353e-5
cons_last_month,0.003302551259766659,3.387267814224251e-5
has_gas_flag,0.0029921826569469447,1.8953065095768226e-5
margin_gross_pow_ele,0.001921897037262717,-1.0524471734587973e-5
forecast_meter_rent_12m,0.001879233450449186,2.1691196014046326e-5
margin_net_pow_ele,0.0014576956594798316,1.0490092961339037e-5
forecast_cons,0.001364372905251522,1.7648669943880003e-6
antig_contract_ratio,0.0010105895819945432,1.0334781803168224e-5
tenure_normalized,3.310034154848927e-4,3.3881822949940607e-7
