feature,importance
cons_pct,0.02223593126292673
margin_net_pow_ele,0.021807458431068377
cons_gas_12m,0.018834729595213436
cons_trend,0.013119001101133567
forecast_meter_rent_12m,0.01218584208220409
cons_last_month,0.0068497460381546724
origin_up_lxidpiddsbxsbosboudacockeimpuepw,0.005703054695928576
total_cons,0.004973645278750903
margin_gross_pow_ele,0.004330013628713194
channel_sales_NA,0.0042430302978669395
net_margin,0.0028281244296691523
origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,0.0027442849662137284
price_p3_fix,0.002710127906409108
avg_mon_cons,0.0010183556094960182
est_rev,5.561747470711427e-4
price_p2_fix,4.0183678225311034e-5
days_mod,1.2728728655907088e-6
tenure_days,0
contract_len,0
num_years_antig,0
channel_sales_lmkebamcaaclubfxadlmueccxoimlema,0
cons_12m,0
channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,0
price_p3_var,0
forecast_price_energy_p2,0
